"Series","Indicator Name","Source","Source Organization","Source Note","Mean","Standard Error","Lower Bound","Upper Bound","Variance","N"
"SE.LPV.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.BMP","Proficiency by End of Primary","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.PRM.ATTD","Student Attendance","Global Education Policy Dashboard","World Bank","School Survey.  Percent of 4th grade students who are present during an unannounced visit.",79.28416547976437,2.5566162622024184,74.24262931037386,84.32570164915488,6.536286712157866,199
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit","Global Education Policy Dashboard","World Bank",NA,79.28416547976437,2.5566162622024184,74.24262931037386,84.32570164915488,6.536286712157866,199
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female","Global Education Policy Dashboard","World Bank",NA,79.82667024231782,2.5647046766784913,74.7691840710686,84.88415641356704,6.577710078576525,199
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male","Global Education Policy Dashboard","World Bank",NA,78.97641846284283,2.6874853269655126,73.67681418475263,84.27602274093303,7.2225773826549275,198
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural","Global Education Policy Dashboard","World Bank",NA,80.10736053714554,3.307916935764235,73.55250230207007,86.66221877222101,10.942314453915847,111
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban","Global Education Policy Dashboard","World Bank",NA,77.01254306420121,2.8937000044728443,71.26100097087665,82.76408515752577,8.373499715886139,88
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing","Global Education Policy Dashboard","World Bank","Expert Survey.",1,NA,NA,NA,NA,1
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.","Global Education Policy Dashboard","World Bank",NA,1,NA,NA,NA,NA,1
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending","Global Education Policy Dashboard","World Bank",NA,1,NA,NA,NA,NA,1
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.5","(Financing) - Equity","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.6","(Financing) - Does the country spend 4-5%  of GDP or 15-20% of public expenditures on education spending?","Global Education Policy Dashboard","World Bank",NA,1,NA,NA,NA,NA,1
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making","Global Education Policy Dashboard","World Bank","Survey of Public officials. This module assesses the extent to which bureaucrats implement policies in an impartial way, meaning that decisions are free from political clientelism or undue influence from any single interest group.   Average score (1 (worst) , 5 (best)) on items given to public officials.",3.4566543513138908,0.0821908662074694,3.294261726313509,3.6190469763142725,0.006755338487934136,152
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","Global Education Policy Dashboard","World Bank",NA,3.4566543513138908,0.0821908662074694,3.294261726313509,3.6190469763142725,0.006755338487934136,152
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management","Global Education Policy Dashboard","World Bank",NA,3.5929495614035085,0.10242357485060488,3.390581172440098,3.795317950366919,0.01049058868517746,152
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making","Global Education Policy Dashboard","World Bank",NA,4.457070707070708,0.061791321920778304,4.334983479718346,4.579157934423069,0.003818167464717257,132
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation","Global Education Policy Dashboard","World Bank",NA,2.2039473684210527,0.09971927902120627,2.006922124247053,2.4009726125950523,0.009943934608509189,152
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators","Global Education Policy Dashboard","World Bank",NA,4.413533834586466,0.07619963562098016,4.2629786765312145,4.564088992641717,0.005806384468770148,133
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability","Global Education Policy Dashboard","World Bank","Survey of Public officials.  The aim of this indicator is to measure the extent to which the mandates are clearly defined and allocated in the legislation, as well as whether such allocation is reflected in practice.  Average score (1 (worst) , 5 (best)) on items given to public officials.",4.337956204379562,0.05962693739522141,4.220145365643525,4.4557670431156,0.0035553716631336533,137
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","Global Education Policy Dashboard","World Bank",NA,4.337956204379562,0.05962693739522141,4.220145365643525,4.4557670431156,0.0035553716631336533,137
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence","Global Education Policy Dashboard","World Bank",NA,4.298245614035087,0.06588537455611151,4.168069361891781,4.428421866178394,0.004340882580399106,133
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency","Global Education Policy Dashboard","World Bank",NA,4.253086419753086,0.07110864146138171,4.112590042479533,4.39358279702664,0.005056438890483334,135
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials","Global Education Policy Dashboard","World Bank",NA,4.480099502487562,0.08676301141839095,4.308673237899902,4.6515257670752215,0.007527820150387838,134
